subset,model,seed,dim,sev,one_minus_q,rmse,score,ece,cov90,rmse_base
FD001,lstm,1,completeness_MCAR,0,0.0,15.072189331054688,369.0240478515625,0.053000000000000005,0.89,15.072189331054688
FD001,lstm,1,completeness_MCAR,1,0.0503922700881958,15.457327842712402,389.71588134765625,0.05399999999999997,0.88,15.072189331054688
FD001,lstm,1,completeness_MCAR,2,0.162725567817688,16.34090232849121,471.40411376953125,0.049999999999999996,0.81,15.072189331054688
FD001,lstm,1,completeness_MCAR,3,0.276039183139801,15.359020233154297,321.0293273925781,0.048999999999999974,0.82,15.072189331054688
FD001,lstm,1,completeness_MCAR,4,0.388568639755249,15.55119800567627,335.6648864746094,0.04099999999999998,0.82,15.072189331054688
FD001,lstm,1,completeness_MCAR,5,0.499666690826416,17.799650192260742,499.7688293457031,0.06099999999999998,0.76,15.072189331054688
FD001,lstm,1,completeness_MAR,0,0.0,15.072189331054688,369.0240478515625,0.053000000000000005,0.89,15.072189331054688
FD001,lstm,1,completeness_MAR,1,0.05029416084289551,14.77564525604248,356.5814514160156,0.05499999999999999,0.87,15.072189331054688
FD001,lstm,1,completeness_MAR,2,0.16266673803329468,16.125574111938477,444.6937561035156,0.04899999999999999,0.79,15.072189331054688
FD001,lstm,1,completeness_MAR,3,0.27568626403808594,17.155454635620117,570.0066528320312,0.048999999999999974,0.85,15.072189331054688
FD001,lstm,1,completeness_MAR,4,0.3881961703300476,16.634183883666992,536.2882080078125,0.05399999999999999,0.83,15.072189331054688
FD001,lstm,1,completeness_MAR,5,0.5003921985626221,18.561447143554688,580.203857421875,0.04099999999999998,0.81,15.072189331054688
FD001,lstm,1,completeness_MNAR,0,0.0,15.072189331054688,369.0240478515625,0.053000000000000005,0.89,15.072189331054688
FD001,lstm,1,completeness_MNAR,1,0.05043137073516846,14.644039154052734,309.9101867675781,0.049999999999999975,0.88,15.072189331054688
FD001,lstm,1,completeness_MNAR,2,0.16396087408065796,16.056598663330078,454.0939636230469,0.04899999999999998,0.83,15.072189331054688
FD001,lstm,1,completeness_MNAR,3,0.27611762285232544,16.887617111206055,657.0718994140625,0.061,0.82,15.072189331054688
FD001,lstm,1,completeness_MNAR,4,0.38972556591033936,19.074962615966797,649.8374633789062,0.038,0.78,15.072189331054688
FD001,lstm,1,completeness_MNAR,5,0.5028039813041687,26.086772918701172,3088.6455078125,0.10800000000000001,0.74,15.072189331054688
FD001,lstm,1,timeliness,0,0.0,15.072189331054688,369.0240478515625,0.053000000000000005,0.89,15.072189331054688
FD001,lstm,1,timeliness,1,0.15384620428085327,15.53038501739502,425.81939697265625,0.049,0.85,15.072189331054688
FD001,lstm,1,timeliness,2,0.38461536169052124,17.156038284301758,504.21337890625,0.05500000000000001,0.78,15.072189331054688
FD001,lstm,1,timeliness,3,0.5384615659713745,18.879825592041016,607.8685302734375,0.064,0.71,15.072189331054688
FD001,lstm,1,timeliness,4,0.7692307829856873,19.340991973876953,821.5787963867188,0.088,0.68,15.072189331054688
FD001,lstm,1,timeliness,5,1.0,22.11310577392578,1447.0201416015625,0.08000000000000003,0.71,15.072189331054688
FD001,lstm,1,consistency,0,0.0,15.072189331054688,369.0240478515625,0.053000000000000005,0.89,15.072189331054688
FD001,lstm,1,consistency,1,0.052941203117370605,15.890124320983887,400.5321960449219,0.11199999999999996,0.84,15.072189331054688
FD001,lstm,1,consistency,2,0.17205888032913208,17.59290885925293,430.71142578125,0.24499999999999997,0.63,15.072189331054688
FD001,lstm,1,consistency,3,0.2911764979362488,17.142662048339844,429.33306884765625,0.205,0.67,15.072189331054688
FD001,lstm,1,consistency,4,0.4102941155433655,20.87833595275879,773.0555419921875,0.259,0.59,15.072189331054688
FD001,lstm,1,consistency,5,0.529411792755127,26.831621170043945,1835.2567138671875,0.32599999999999996,0.41,15.072189331054688
FD001,lstm,1,drift,0,0.0,15.072189331054688,369.0240478515625,0.053000000000000005,0.89,15.072189331054688
FD001,lstm,1,drift,1,0.10000008344650269,15.515083312988281,345.53411865234375,0.07899999999999999,0.85,15.072189331054688
FD001,lstm,1,drift,2,0.3250000476837158,18.558053970336914,521.4151611328125,0.21400000000000002,0.68,15.072189331054688
FD001,lstm,1,drift,3,0.5500000417232513,25.042417526245117,1120.01953125,0.33899999999999997,0.47,15.072189331054688
FD001,lstm,1,drift,4,0.7750000208616257,32.89862823486328,2443.082763671875,0.44099999999999995,0.23,15.072189331054688
FD001,lstm,1,drift,5,1.0,40.49405288696289,4781.00830078125,0.489,0.07,15.072189331054688
FD001,lstm,2,accuracy,0,0.0,14.375961303710938,253.2745361328125,0.06799999999999998,0.88,14.375961303710938
FD001,lstm,2,accuracy,1,0.050000011920928955,14.184648513793945,243.17840576171875,0.06599999999999998,0.88,14.375961303710938
FD001,lstm,2,accuracy,2,0.18750005960464478,14.29150390625,246.79798889160156,0.07499999999999997,0.84,14.375961303710938
FD001,lstm,2,accuracy,3,0.3250000476837158,15.495342254638672,328.6701965332031,0.07199999999999998,0.89,14.375961303710938
FD001,lstm,2,accuracy,4,0.46250003576278687,16.208410263061523,336.32623291015625,0.05599999999999998,0.86,14.375961303710938
FD001,lstm,2,accuracy,5,0.6000000238418579,17.42310905456543,381.94525146484375,0.058999999999999976,0.82,14.375961303710938
FD001,lstm,2,accuracy_bias,0,0.0,14.375961303710938,253.2745361328125,0.06799999999999998,0.88,14.375961303710938
FD001,lstm,2,accuracy_bias,1,0.050000011920928955,14.471563339233398,253.2299346923828,0.08799999999999998,0.89,14.375961303710938
FD001,lstm,2,accuracy_bias,2,0.18750005960464478,16.32254409790039,330.2744140625,0.15799999999999997,0.77,14.375961303710938
FD001,lstm,2,accuracy_bias,3,0.3250000476837158,22.846330642700195,1338.997314453125,0.255,0.55,14.375961303710938
FD001,lstm,2,accuracy_bias,4,0.46250003576278687,29.210163116455078,3800.718994140625,0.33199999999999996,0.43,14.375961303710938
FD001,lstm,2,accuracy_bias,5,0.6000000238418579,35.092987060546875,4974.61767578125,0.409,0.3,14.375961303710938
FD001,lstm,2,completeness_MCAR,0,0.0,14.375961303710938,253.2745361328125,0.06799999999999998,0.88,14.375961303710938
FD001,lstm,2,completeness_MCAR,1,0.0503922700881958,15.04210090637207,290.3279113769531,0.06399999999999999,0.86,14.375961303710938
FD001,lstm,2,completeness_MCAR,2,0.162725567817688,15.28649616241455,316.0940246582031,0.06399999999999997,0.85,14.375961303710938
FD001,lstm,2,completeness_MCAR,3,0.276039183139801,15.778216361999512,311.8677978515625,0.06499999999999997,0.81,14.375961303710938
FD001,lstm,2,completeness_MCAR,4,0.388568639755249,16.660417556762695,359.3600769042969,0.07099999999999998,0.83,14.375961303710938
FD001,lstm,2,completeness_MCAR,5,0.499666690826416,19.388011932373047,603.3098754882812,0.07599999999999998,0.77,14.375961303710938
FD001,lstm,2,completeness_MAR,0,0.0,14.375961303710938,253.2745361328125,0.06799999999999998,0.88,14.375961303710938
FD001,lstm,2,completeness_MAR,1,0.05029416084289551,14.568586349487305,287.53570556640625,0.06299999999999997,0.89,14.375961303710938
FD001,lstm,2,completeness_MAR,2,0.16266673803329468,15.717568397521973,347.1627502441406,0.05699999999999998,0.84,14.375961303710938
FD001,lstm,2,completeness_MAR,3,0.27568626403808594,17.045366287231445,439.3764343261719,0.06799999999999998,0.86,14.375961303710938
FD001,lstm,2,completeness_MAR,4,0.3881961703300476,17.103492736816406,527.6719970703125,0.05999999999999998,0.79,14.375961303710938
FD001,lstm,2,completeness_MAR,5,0.5003921985626221,18.544347763061523,508.5808410644531,0.06299999999999997,0.82,14.375961303710938
FD001,lstm,2,completeness_MNAR,0,0.0,14.375961303710938,253.2745361328125,0.06799999999999998,0.88,14.375961303710938
FD001,lstm,2,completeness_MNAR,1,0.05043137073516846,14.6007080078125,262.5127868652344,0.06899999999999998,0.9,14.375961303710938
FD001,lstm,2,completeness_MNAR,2,0.16396087408065796,15.95141887664795,327.06103515625,0.056999999999999974,0.84,14.375961303710938
FD001,lstm,2,completeness_MNAR,3,0.27611762285232544,16.81465721130371,482.7342529296875,0.051000000000000004,0.88,14.375961303710938
FD001,lstm,2,completeness_MNAR,4,0.38972556591033936,20.341136932373047,824.6694946289062,0.04899999999999999,0.81,14.375961303710938
FD001,lstm,2,completeness_MNAR,5,0.5028039813041687,26.165279388427734,2563.101806640625,0.08400000000000002,0.76,14.375961303710938
FD001,lstm,2,timeliness,0,0.0,14.375961303710938,253.2745361328125,0.06799999999999998,0.88,14.375961303710938
FD001,lstm,2,timeliness,1,0.15384620428085327,15.085694313049316,301.6230163574219,0.04999999999999998,0.88,14.375961303710938
